id,well_number,measurement_date_utc,dtw_avg,dtw_1,dtw_2,tape_error,comments,water_level,data_source,collected_by,is_dry
46,TN113_000059,2022-12-20 10:00:28,50.71,50.71,,,,378.2600000000001,Manual,UNKNOWN,0
47,TN113_000060,2022-12-20 10:00:24,7.07,7.07,,,,363.1,Manual,UNKNOWN,0
48,TN113_000060,2023-01-23 11:00:53,7.13,7.13,,,,363.04,Manual,UNKNOWN,0
49,TN113_000059,2023-01-23 12:00:01,50.83,50.83,,,,378.14,Manual,UNKNOWN,0
50,TN113_000060,2023-03-01 11:00:36,6.85,6.85,,,,363.32,Manual,UNKNOWN,0
51,TN113_000059,2023-03-01 13:30:38,50.64,50.64,,,,378.33,Manual,UNKNOWN,0
52,TN113_000060,2023-03-30 11:00:25,6.72,6.72,,,,363.45,Manual,UNKNOWN,0
53,TN113_000059,2023-03-30 12:00:19,50.76,50.76,,,,378.21,Manual,UNKNOWN,0
54,TN113_000060,2023-05-04 10:20:24,6.86,6.86,,,,363.31,Manual,UNKNOWN,0
55,TN113_000059,2023-05-04 12:30:27,50.82,50.82,,,,378.15,Manual,UNKNOWN,0
56,TN113_000060,2023-06-01 10:30:38,6.89,6.89,,,,363.28,Manual,UNKNOWN,0
57,TN113_000059,2023-06-01 12:00:28,50.91,50.91,,,,378.06000000000006,Manual,UNKNOWN,0
58,TN113_000060,2023-06-11 10:24:19,6.43,6.43,,,,363.74,Manual,UNKNOWN,0
59,TN113_000060,2023-08-07 11:40:00,6.65,6.65,,,,363.52,Manual,UNKNOWN,0
60,TN113_000059,2023-08-07 13:25:48,50.85,50.85,,,,378.12,Manual,UNKNOWN,0
61,TN113_000060,2023-09-28 12:00:37,9.37,9.37,,,seems high,360.8,Manual,UNKNOWN,0
62,TN113_000059,2023-09-28 12:00:30,50.78,50.78,,,,378.19000000000005,Manual,UNKNOWN,0
63,TN113_000060,2023-10-27 12:00:39,8.05,8.05,,,,362.12,Manual,UNKNOWN,0
64,TN113_000059,2023-10-27 13:15:18,51.02,51.02,,,,377.9500000000001,Manual,UNKNOWN,0
66,TN113_000059,2024-01-08 12:30:31,51.55,51.55,,,,377.42,Manual,UNKNOWN,0
67,TN113_000060,2024-02-15 22:10:49,7.25,7.25,,,,362.92,Manual,UNKNOWN,0
68,TN113_000059,2024-02-15 11:30:45,51.3,51.3,,,,377.67,Manual,UNKNOWN,0
69,TN113_000059,2023-04-12 11:00:23,51.18,51.18,,,,377.79,Manual,UNKNOWN,0
70,TN113_000060,2023-12-04 09:30:14,7.81,7.81,,,,362.36,Manual,UNKNOWN,0
71,TN113_000060,2024-03-28 11:00:13,7.19,7.19,,,,362.98,Manual,UNKNOWN,0
72,TN113_000059,2024-03-28 11:00:58,51.47,51.47,,,,377.5,Manual,UNKNOWN,0
73,TN113_000059,2024-04-25 10:00:20,51.5,51.5,,,,377.47,Manual,UNKNOWN,0
74,TN113_000060,2024-08-30 10:30:23,8.46,8.46,,,,361.71,Manual,UNKNOWN,0
75,TN113_000059,2024-08-30 19:19:04,51.59,51.59,,,,377.38,Manual,UNKNOWN,0
76,TN113_000059,2024-10-07 11:20:52,51.69,51.69,,,,377.28,Manual,UNKNOWN,0
77,TN113_000060,2024-10-30 10:00:00,8.48,8.48,,,,361.69,Manual,UNKNOWN,0
78,TN113_000059,2024-10-30 10:38:44,51.85,51.85,,,,377.12,Manual,UNKNOWN,0
79,TN113_000060,2024-11-25 11:00:43,7.91,7.91,,,,362.26,Manual,UNKNOWN,0
80,TN113_000059,2024-11-25 11:45:28,51.79,51.79,,,,377.18,Manual,UNKNOWN,0
81,TN113_000059,2025-01-27 14:30:13,49.96,49.96,,,,379.0100000000001,Manual,UNKNOWN,0
82,TN113_000060,2025-01-27 02:00:57,7.39,7.39,,,,362.78,Manual,UNKNOWN,0
83,TN113_000059,2017-06-09 12:00:59,55.0,55.0,,,,373.97,Manual,UNKNOWN,0
84,TN113_000059,2018-03-08 10:00:05,55.51,55.51,,,,373.46,Manual,UNKNOWN,0
85,TN113_000059,2018-05-11 11:00:28,54.74,54.74,,,,374.23,Manual,UNKNOWN,0
86,TN113_000060,2018-06-07 11:20:09,5.56,5.56,,,,364.61,Manual,UNKNOWN,0
87,TN113_000060,2018-07-11 11:00:26,5.51,5.51,,,,364.66,Manual,UNKNOWN,0
88,TN113_000060,2018-08-15 10:30:36,5.91,5.91,,,,364.26,Manual,UNKNOWN,0
89,TN113_000060,2018-08-29 09:30:31,7.1,7.1,,,,363.07,Manual,UNKNOWN,0
90,TN113_000060,2018-09-18 10:30:15,7.52,7.52,,,,362.65,Manual,UNKNOWN,0
91,TN113_000059,2018-10-18 12:00:16,54.35,54.35,,,,374.62,Manual,UNKNOWN,0
92,TN113_000060,2018-10-18 12:00:02,5.8,5.8,,,,364.37,Manual,UNKNOWN,0
93,TN113_000060,2018-11-27 12:00:59,5.86,5.86,,,,364.31,Manual,UNKNOWN,0
94,TN113_000059,2018-11-27 12:00:12,54.16,54.16,,,,374.81000000000006,Manual,UNKNOWN,0
95,TN113_000060,2018-12-19 11:00:57,5.85,5.85,,,,364.32,Manual,UNKNOWN,0
96,TN113_000060,2019-01-18 11:00:51,5.62,5.62,,,,364.55,Manual,UNKNOWN,0
97,TN113_000060,2019-05-03 12:00:41,5.26,5.26,,,,364.91,Manual,UNKNOWN,0
98,TN113_000060,2019-04-24 10:30:24,5.23,5.23,,,,364.94,Manual,UNKNOWN,0
99,TN113_000060,2019-05-21 10:15:01,5.44,5.44,,,,364.73,Manual,UNKNOWN,0
100,TN113_000060,2019-06-25 12:00:39,5.45,5.45,,,,364.72,Manual,UNKNOWN,0
101,TN113_000060,2019-07-24 12:00:14,5.42,5.42,,,,364.75,Manual,UNKNOWN,0
102,TN113_000060,2019-12-20 12:00:55,5.69,5.69,,,,364.48,Manual,UNKNOWN,0
103,TN113_000060,2020-02-07 11:00:37,5.28,5.28,,,,,,,
104,TN113_000060,2020-06-01 12:00:12,5.49,5.49,,,,,,,
